Id,Label,count,rate,type,in_degree,out_degree,total_degree,community
390,PG&E,15128,0.0028543530865711,ORG,11,10,21,1
391,Fiat Chrysler,7986,0.0015067995603752,ORG,23,27,50,3
392,VW,26149,0.0049337968575323,ORG,26,32,58,3
393,the Justice Department,12483,0.0023552941287458,ORG,67,38,105,1
394,the Paris Agreement,18000,0.0033962424351058,ORG,360,42,402,1
395,Exxon Mobil,13452,0.0025381251798357,ORG,17,27,44,3
396,the New York Times,21356,0.0040294529691177,ORG,41,24,65,1
414,Microsoft,23256,0.0043879452261567,ORG,26,34,60,3
415,Boeing,14400,0.0027169939480846,ORG,28,21,49,3
416,Hurricane Harvey,16555,0.0031235996396209,ORG,102,90,192,1
417,Harvey,15028,0.0028354850730428,ORG,102,110,212,1
418,the State Department,11022,0.0020796324510964,ORG,40,26,66,1
419,ExxonMobil,8940,0.0016868004094358,ORG,23,24,47,3
420,CNBC,128586,0.0242616238755843,ORG,127,36,163,3
421,Rosneft,12740,0.0024037849235137,ORG,16,19,35,3
422,General Motors,10437,0.0019692545719555,ORG,21,20,41,3
423,Pemex,12765,0.0024085019268958,ORG,20,10,30,3
424,Nissan,13400,0.002528313812801,ORG,14,22,36,3
425,Royal Dutch Shell,11096,0.0020935947811074,ORG,15,12,27,3
426,EIA,8241,0.0015549129948726,ORG,6,0,6,3
427,BMW,14652,0.0027645413421761,ORG,16,15,31,3
428,NOAA,19053,0.0035949226175595,ORG,19,43,62,1
429,The Washington Post,21360,0.0040302076896589,ORG,37,41,78,1
430,the European Commission,17220,0.0032490719295845,ORG,11,26,37,3
431,the U.S. Energy Information Administration,8760,0.0016528379850848,ORG,7,1,8,3
432,Toyota,17666,0.003333223269921,ORG,16,46,62,3
433,Gizmodo,17618,0.0033241666234274,ORG,44,11,55,3
434,the International Energy Agency,11880,0.0022415200071698,ORG,9,11,20,3
435,Honda,7524,0.0014196293378742,ORG,21,10,31,3
436,Huawei,7500,0.0014151010146274,ORG,27,12,39,3
437,Capitol Hill,8280,0.0015622715201486,ORG,55,37,92,1
438,TransCanada,9180,0.0017320836419039,ORG,19,19,38,1
439,Trump,609600,0.115019410468917,ORG,3558,5187,8745,1
440,Uber,13930,0.0026283142845013,ORG,118,96,214,3
441,Daimler,8120,0.0015320826985032,ORG,6,36,42,3
442,the World Bank,8487,0.0016013283081524,ORG,4,4,8,3
443,BuzzFeed News,35890,0.0067717300553304,ORG,69,23,92,3
444,BP,32940,0.0062151236562436,ORG,12,30,42,3
445,the Shanghai Futures Exchange,12240,0.0023094448558719,ORG,0,0,0,4
446,the National Hurricane Center,10140,0.0019132165717762,ORG,18,32,50,1
447,Facebook,7850,0.0014811390619767,ORG,48,20,68,3
448,Instagram,25803,0.0048685135307242,ORG,39,18,57,3
449,Perry,13055,0.0024632191661281,ORG,192,228,420,1
450,NBC News,11844,0.0022347275222996,ORG,21,11,32,1
451,Netflix,11767,0.0022201991518827,ORG,18,25,43,3
452,TechCrunch,8820,0.0016641587932018,ORG,20,23,43,3
453,1.5C,40,0.0002,PRODUCT,2,1,3,1
454,Air Force One,1395,0.0090670375810833,PRODUCT,39,6,45,1
455,BuzzFeed,848,0.0055117189023359,PRODUCT,5,2,7,1
456,Cole,345,0.002,PRODUCT,0,10,10,1
457,Cushing,825,0.0053622265264471,PRODUCT,0,2,2,3
458,Q3,736,0.0047837560284425,PRODUCT,8,4,12,0
459,Saturn,918,0.0059666956985193,PRODUCT,2,2,4,1
460,Twitter,127080,0.825977875128368,PRODUCT,896,234,1130,1
461,Waymo,5750,0.0373730939722074,PRODUCT,24,29,53,3
462,West Texas Intermediate,760,0.0049397480728482,PRODUCT,1,2,3,3
463,Fahrenheit,4982,0.0993538608806637,WOA,4,5,9,3
464,Nature,817,0.0162930759412891,WOA,0,11,11,1
465,Trump,30480,0.607849393746011,WOA,3558,5187,8745,1
466,the Nobel Peace Prize,900,0.0179483088704531,WOA,14,2,16,1
467,Democrats,162855,0.357546670647823,NORP,445,744,1189,1
468,Republicans,122853,0.269722643634503,NORP,378,415,793,1
469,Hurricane Florence,6567,0.0581381966269753,EVENT,16,19,35,1
470,Hurricane Harvey,7700,0.0681687397636227,EVENT,102,90,192,1
471,Hurricane Irma,24924,0.220654242840069,EVENT,38,16,54,1
472,Hurricane Katrina,10872,0.0962507193130007,EVENT,30,17,47,1
473,Hurricane Maria,13230,0.117126289230224,EVENT,32,22,54,1
474,Hurricane Sandy,5136,0.045469434730645,EVENT,5,3,8,1
475,Katrina,5406,0.0478597671639148,EVENT,39,10,49,1
476,the Paris Agreement,8400,0.074365897923952,EVENT,360,42,402,1
