Id,Label,count,rate,type,in_degree,out_degree,total_degree,community
139,Extinction Rebellion,1200,0.0005025275039584,PERSON,2,3,5,3
140,Guy Faulconbridge,4968,0.0020804638663879,PERSON,19,15,34,0
141,Edward Taylor,3990,0.0016709039506618,PERSON,2,26,28,0
142,Vale,4410,0.0018467885770473,PERSON,3,3,6,3
143,William James,2418,0.0010125929204762,PERSON,6,21,27,0
144,Kylie MacLellan,1161,0.0004861953600798,PERSON,4,15,19,0
145,Anderson,2795,0.0011704703113032,PERSON,2,17,19,3
146,Williams,13916,0.0058276439542381,PERSON,19,24,43,3
147,Paul Carrel,1258,0.0005268163333164,PERSON,10,8,18,0
148,Barack Obama,3774,0.0015804489999493,PERSON,22,20,42,1
149,David Clarke,7747,0.0032442338109717,PERSON,35,1,36,0
150,Kirsten Donovan,10138,0.0042455198626089,PERSON,42,0,42,0
151,Dahlia Nehme,1599,0.0006696178990246,PERSON,1,19,20,0
152,Susan Fenton,6512,0.0027270492548145,PERSON,34,0,34,0
153,Hillary Clinton,17680,0.0074039052249878,PERSON,82,70,152,1
154,Britons,1225,0.0005129968269575,PERSON,2,15,17,3
155,Barry,1680,0.0007035385055418,PERSON,1,3,4,3
156,Elizabeth Piper,1564,0.0006549608468258,PERSON,9,17,26,0
157,Gus Trompiz,1292,0.0005410546125952,PERSON,4,14,18,0
158,Nick Macfie,3381,0.0014158712424029,PERSON,20,2,22,0
159,Andrew Osborn,1260,0.0005276538791563,PERSON,11,8,19,0
160,Jackson,6192,0.0025930419204256,PERSON,12,27,39,3
161,Elliott,2100,0.0008794231319272,PERSON,5,10,15,3
162,Green,1458,0.0006105709173095,PERSON,3,6,9,1
163,Bernadette Baum,7296,0.0030553672240673,PERSON,19,0,19,2
164,Paul,2940,0.0012311923846982,PERSON,5,11,16,1
165,Gwladys Fouche,2480,0.0010385568415141,PERSON,7,7,14,0
166,Jose,1792,0.0007504410725779,PERSON,9,5,14,1
167,Sanjeev Miglani,1363,0.0005707874899128,PERSON,5,0,5,0
168,Miller,5616,0.0023518287185255,PERSON,10,37,47,3
169,Maria,17028,0.0071308652811704,PERSON,18,39,57,1
170,Joe Bavier,1326,0.000555292891874,PERSON,1,14,15,0
171,Lopez Obrador,1496,0.0006264842882682,PERSON,1,17,18,1
172,John Stonestreet,11280,0.0047237585372094,PERSON,30,1,31,0
173,Richard Lough,4366,0.0018283625685688,PERSON,10,10,20,0
174,William Schomberg,3528,0.0014774308616378,PERSON,14,19,33,0
175,Kevin Liffey,2958,0.0012387302972575,PERSON,21,2,23,0
176,Alan Baldwin,1242,0.0005201159665969,PERSON,2,9,11,0
177,Andy Bruce,2448,0.0010251561080752,PERSON,6,23,29,0
178,Jeffrey Benkoe,2208,0.0009246506072835,PERSON,14,0,14,2
179,Dave Sherwood,1575,0.0006595673489454,PERSON,0,14,14,2
180,Steve Orlofsky,1292,0.0005410546125952,PERSON,9,0,9,2
181,Bill Tarrant,1680,0.0007035385055418,PERSON,1,5,6,2
182,Gary McWilliams,1872,0.0007839429061751,PERSON,7,6,13,2
183,Elon Musk,11564,0.0048426900464796,PERSON,16,110,126,3
184,Shounak Dasgupta,1245,0.0005213722853568,PERSON,3,1,4,2
185,Rihanna,1458,0.0006105709173095,PERSON,2,6,8,3
186,Raissa Kasolowsky,1332,0.0005578055293938,PERSON,12,0,12,0
187,Alister Doyle,2112,0.0008844484069668,PERSON,5,19,24,0
188,Julia Love,1190,0.0004983397747587,PERSON,0,9,9,2
189,Caroline Stauffer,1476,0.0006181088298688,PERSON,4,7,11,2
190,Geert De Clercq,5829,0.0024410273504781,PERSON,8,30,38,0
191,Clarence Fernandez,10720,0.0044892457020288,PERSON,25,0,25,0
192,Cuomo,1785,0.0007475096621381,PERSON,9,13,22,1
193,Anthony Boadle,2808,0.0011759143592627,PERSON,1,22,23,2
194,Bernard Orr,1364,0.0005712062628327,PERSON,6,0,6,2
195,Jones,4841,0.0020272797055523,PERSON,15,19,34,1
196,Denis Pinchuk,2646,0.0011080731462283,PERSON,9,32,41,0
197,Lee,9165,0.0038380538114826,PERSON,8,24,32,3
198,Keith Weir,1880,0.0007872930895349,PERSON,20,0,20,0
199,Thomas Seythal,3172,0.0013283477021301,PERSON,11,10,21,0
200,Paul Tait,1702,0.000712751509781,PERSON,10,3,13,0
201,Marta Nogueira,1426,0.0005971701838706,PERSON,0,12,12,2
202,Marcelo Teixeira,2856,0.0011960154594211,PERSON,3,22,25,2
203,Alexis Akwagyiram,1160,0.0004857765871598,PERSON,0,10,10,0
204,Chao,1276,0.0005343542458758,PERSON,7,14,21,1
205,Dan Grebler,4480,0.0018761026814448,PERSON,21,0,21,2
206,Biden,16848,0.0070554861555766,PERSON,85,98,183,1
