Id,Label,Type,community
hTokyo,Tokyo,Headquarter,9
sTokyo Stock Exchange,Tokyo Stock Exchange,Stock Exchange Sector,9
cHusky Energy Inc,Husky Energy Inc,Company,13
cDrummond Co,Drummond Co,Company,4
cTurkmennebit,Turkmennebit,Company,9
cOMV AG,OMV AG,Company,3
countryAustria,Austria,Country,3
hVienna,Vienna,Headquarter,3
d+19260000000 (+2016-01-01T00:00:00Z),+19260000000 (+2016-01-01T00:00:00Z),Revenue,3
sWiener Boerse AG,Wiener Boerse AG,Stock Exchange Sector,3
cMurphy Oil Corp,Murphy Oil Corp,Company,14
hEl Dorado,El Dorado,Headquarter,14
cSouthwestern Energy Co,Southwestern Energy Co,Company,15
